text,label,label_text,text_clean
I need to cancel my recent transfer. I made a mistake. Please help quickly before the transfer goes through.,8,cancel_transfer,i need to cancel my recent transfer. i made a mistake. please help quickly before the transfer goes through.
cash and check deposit has not gone thru,6,balance_not_updated_after_cheque_or_cash_deposit,cash and check deposit has not gone thru
I live in the US and I would like to get a card. How do I go about getting one?,24,country_support,i live in the us and i would like to get a card. how do i go about getting one?
I'd like to have it delivered on Saturday.  Is that possible?,12,card_delivery_estimate,i'd like to have it delivered on saturday. is that possible?
Why am I being charged the wrong currency exchange when I purchased something abroad?,17,card_payment_wrong_exchange_rate,why am i being charged the wrong currency exchange when i purchased something abroad?
How many physical cards am I allowed to have?,39,getting_spare_card,how many physical cards am i allowed to have?
How do I dispute a direct debit that I didn't do?,28,direct_debit_payment_not_recognised,how do i dispute a direct debit that i didn't do?
What do I do if my card expires soon?,9,card_about_to_expire,what do i do if my card expires soon?
My transfer hasn't appeared yet,48,pending_transfer,my transfer hasn't appeared yet
"How long does a transfer to another country normally take? I check over and over again and see that my transfer is still pending. It's 2018, nothing should take this long. I have confirmed my account information, so there is no error. What is the hold up?",48,pending_transfer,"how long does a transfer to another country normally take? i check over and over again and see that my transfer is still pending. it's 2018, nothing should take this long. i have confirmed my account information, so there is no error. what is the hold up?"
Where is my new card if I haven't received it yet?,11,card_arrival,where is my new card if i haven't received it yet?
What retailers accept my card?,10,card_acceptance,what retailers accept my card?
How can I solve my issue with holding multiple currencies?,36,fiat_currency_support,how can i solve my issue with holding multiple currencies?
"When I got my cash, the amount was not what it should have been, based on the exchange rate.",76,wrong_exchange_rate_for_cash_withdrawal,"when i got my cash, the amount was not what it should have been, based on the exchange rate."
what is the fee for topping up by card?,57,top_up_by_card_charge,what is the fee for topping up by card?
I need information explaining why my top-up failed to go through,59,top_up_failed,i need information explaining why my top-up failed to go through
"
I put the wrong pin too many times and now it is blocked. Can you help me unblock it?",49,pin_blocked,i put the wrong pin too many times and now it is blocked. can you help me unblock it?
Why isn't my deposit in my account?,6,balance_not_updated_after_cheque_or_cash_deposit,why isn't my deposit in my account?
"In the exchange and holding, what fiat is allowed?",36,fiat_currency_support,"in the exchange and holding, what fiat is allowed?"
atm ate my card,18,card_swallowed,atm ate my card
Does Google Pay offer a top up option?,2,apple_pay_or_google_pay,does google pay offer a top up option?
Is there any fees associated with receiving money with this account?,56,top_up_by_bank_transfer_charge,is there any fees associated with receiving money with this account?
When can I expect my card? I live in the US.,12,card_delivery_estimate,when can i expect my card? i live in the us.
I made a cash deposit and the balance wasn't updated.,6,balance_not_updated_after_cheque_or_cash_deposit,i made a cash deposit and the balance wasn't updated.
How do I link my new card?,13,card_linking,how do i link my new card?
How do I activate my new card,0,activate_my_card,how do i activate my new card
Will I be charged for topping up?,57,top_up_by_card_charge,will i be charged for topping up?
Why did I get charged for a withdrawal?,19,cash_withdrawal_charge,why did i get charged for a withdrawal?
What does it mean when it says I have a payment pending?,45,pending_card_payment,what does it mean when it says i have a payment pending?
What is the time frame for european transfers?,67,transfer_timing,what is the time frame for european transfers?
Tell me why my topup wouldn't go through?,59,top_up_failed,tell me why my topup wouldn't go through?
"Hi,  Is there any problem with app? As i am facing some issues with the exchange of crypto currency. I am extremely interested in buying.",7,beneficiary_not_allowed,"hi, is there any problem with app? as i am facing some issues with the exchange of crypto currency. i am extremely interested in buying."
How does the exchange rate work on this app?,32,exchange_rate,how does the exchange rate work on this app?
Help me order my card.,43,order_physical_card,help me order my card.
What is the top-up limit on my cards?,60,top_up_limits,what is the top-up limit on my cards?
"I deposited cash this morning, but it's not showing up in my account. Can you tell me where's my money?",6,balance_not_updated_after_cheque_or_cash_deposit,"i deposited cash this morning, but it's not showing up in my account. can you tell me where's my money?"
What all is needed for the identity verification?,69,verify_my_identity,what all is needed for the identity verification?
Can I top up my card with other cards?,54,supported_cards_and_currencies,can i top up my card with other cards?
Can I open an account for my children?,1,age_limit,can i open an account for my children?
The ATM kept my card?,18,card_swallowed,the atm kept my card?
I don't have the means to prove my identity.,68,unable_to_verify_identity,i don't have the means to prove my identity.
Would you give me a mastercard and visa?,73,visa_or_mastercard,would you give me a mastercard and visa?
do you accept from usa credit card?,54,supported_cards_and_currencies,do you accept from usa credit card?
I want to close my account & I will never do business with you again.,55,terminate_account,i want to close my account & i will never do business with you again.
The exchange rate was not correct for the item I bought.,17,card_payment_wrong_exchange_rate,the exchange rate was not correct for the item i bought.
Why would I need a disposable card?,37,get_disposable_virtual_card,why would i need a disposable card?
Cash has been deposited this morning but it hasn't came through.,6,balance_not_updated_after_cheque_or_cash_deposit,cash has been deposited this morning but it hasn't came through.
Why am I being charged for the same thing twice?,63,transaction_charged_twice,why am i being charged for the same thing twice?
What do I do if I got the wrong amount at the ATM?,75,wrong_amount_of_cash_received,what do i do if i got the wrong amount at the atm?
"Help, my phone was stolen, please advise!",42,lost_or_stolen_phone,"help, my phone was stolen, please advise!"
Is there a reason why there is an extra £1 charge on my account?,34,extra_charge_on_statement,is there a reason why there is an extra £1 charge on my account?
"If I add money with an international card, are there any fees?",57,top_up_by_card_charge,"if i add money with an international card, are there any fees?"
Do you know the reason why my card payment was declined?,25,declined_card_payment,do you know the reason why my card payment was declined?
"I would like to delete my account now, please.",55,terminate_account,"i would like to delete my account now, please."
Is it possible to cancel my transfer?,8,cancel_transfer,is it possible to cancel my transfer?
"I haven't received my card yet, how long does it normally take?",12,card_delivery_estimate,"i haven't received my card yet, how long does it normally take?"
I have been double charged,63,transaction_charged_twice,i have been double charged
Why was I charged twice for the same thing?,63,transaction_charged_twice,why was i charged twice for the same thing?
How do I change my details?,30,edit_personal_details,how do i change my details?
My currency rate is inaccurate.,17,card_payment_wrong_exchange_rate,my currency rate is inaccurate.
How do I get started when I get my card?,38,get_physical_card,how do i get started when i get my card?
I would like to have a physical card to carry around and use. How can I get one?,43,order_physical_card,i would like to have a physical card to carry around and use. how can i get one?
My refund for a purchase hasn't  cone through yet.,51,Refund_not_showing_up,my refund for a purchase hasn't cone through yet.
I purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though I've already received one of the items. Can you tell me what's going on?,53,reverted_card_payment?,i purchased something about one to two weeks ago but for some reason the payment was returned to my account today even though i've already received one of the items. can you tell me what's going on?
Can I choose whether I receive a Visa or a Mastercard card?,73,visa_or_mastercard,can i choose whether i receive a visa or a mastercard card?
I need a disposable virtual card.,37,get_disposable_virtual_card,i need a disposable virtual card.
"My phone is lost I don't want someone to use my account, what can I do?",42,lost_or_stolen_phone,"my phone is lost i don't want someone to use my account, what can i do?"
What forms of ID do you need for identity verification?,69,verify_my_identity,what forms of id do you need for identity verification?
"My PIN is not working, can you help?",49,pin_blocked,"my pin is not working, can you help?"
I tried to get gas but my money was gone!,62,topping_up_by_card,i tried to get gas but my money was gone!
I can't see the transfer that I put in.,5,balance_not_updated_after_bank_transfer,i can't see the transfer that i put in.
"Unable to complete transfer, states 'declined'",27,declined_transfer,"unable to complete transfer, states 'declined'"
Where can I order my virtual card?,40,getting_virtual_card,where can i order my virtual card?
the exchange rate I got for cash was wrong,76,wrong_exchange_rate_for_cash_withdrawal,the exchange rate i got for cash was wrong
Asked for $100 but only got $20. Why would this happen?,75,wrong_amount_of_cash_received,asked for $100 but only got $20. why would this happen?
Which ATMs am I allowed to get money from?,3,atm_support,which atms am i allowed to get money from?
"Would you please unblock my pin? I don't know why, but it's blocked.",49,pin_blocked,"would you please unblock my pin? i don't know why, but it's blocked."
Is it free to transfer money or is there a fee?,64,transfer_fee_charged,is it free to transfer money or is there a fee?
Why did my top-up not work?,59,top_up_failed,why did my top-up not work?
"Can I get a physical card for free, or is there a charge?",43,order_physical_card,"can i get a physical card for free, or is there a charge?"
What is the number of transactions for one disposable card?,29,disposable_card_limits,what is the number of transactions for one disposable card?
Why does my transfer say it is pending?,48,pending_transfer,why does my transfer say it is pending?
I cannot make a transfer to another account.,7,beneficiary_not_allowed,i cannot make a transfer to another account.
I need to transfer funds from my other bank account into this bank account.,65,transfer_into_account,i need to transfer funds from my other bank account into this bank account.
Why was my card payment reversed?,53,reverted_card_payment?,why was my card payment reversed?
can i get a card if i live in the US?,24,country_support,can i get a card if i live in the us?
where do you find your exchange rates?,32,exchange_rate,where do you find your exchange rates?
My card activation attempt failed.,0,activate_my_card,my card activation attempt failed.
Can you explain why the ATM is giving me less money than what I asked for?,75,wrong_amount_of_cash_received,can you explain why the atm is giving me less money than what i asked for?
I need to be made aware when I am being charged an extra amount for payments please. I looked over the app earlier and noticed an additional feel related to one of the payments. I was not warned about this before.,15,card_payment_fee_charged,i need to be made aware when i am being charged an extra amount for payments please. i looked over the app earlier and noticed an additional feel related to one of the payments. i was not warned about this before.
How can I change to another currency?,33,exchange_via_app,how can i change to another currency?
Why have I been charged a fee for transferring money?,64,transfer_fee_charged,why have i been charged a fee for transferring money?
Are there certain cards and currencies you support?,54,supported_cards_and_currencies,are there certain cards and currencies you support?
Why do the top-ups need to be verified?,71,verify_top_up,why do the top-ups need to be verified?
Where did my deposit for my source of funds come from?,70,verify_source_of_funds,where did my deposit for my source of funds come from?
Can I tell if my top off didn't work?  It doesn't seem to have.,59,top_up_failed,can i tell if my top off didn't work? it doesn't seem to have.
Unknowingly to me the payment sent to seller has been redeposied back in my account. I do not know why it would take out the payment and then put it back in my account. Can you resolve this as soon as possible?,53,reverted_card_payment?,unknowingly to me the payment sent to seller has been redeposied back in my account. i do not know why it would take out the payment and then put it back in my account. can you resolve this as soon as possible?
Why was i charged for making a withdrawal? After i went grocery shopping i withdrew some money from my account and now there is another charge.,19,cash_withdrawal_charge,why was i charged for making a withdrawal? after i went grocery shopping i withdrew some money from my account and now there is another charge.
Can I create my own top-up limit?,60,top_up_limits,can i create my own top-up limit?
"I did a cash deposit to my account, but I am not seeing it on my statement.",6,balance_not_updated_after_cheque_or_cash_deposit,"i did a cash deposit to my account, but i am not seeing it on my statement."
The amount of exchange was not correct for the item i bought.,17,card_payment_wrong_exchange_rate,the amount of exchange was not correct for the item i bought.
Where is the verification code display?,71,verify_top_up,where is the verification code display?
Why haven't I received my new card yet?,11,card_arrival,why haven't i received my new card yet?
My card hasn't been working when I try to use it.,14,card_not_working,my card hasn't been working when i try to use it.
I really was trying to complete this exhange. I was trying to purchase some crypto but the app won't allow me to do it. Can you tell me what's going on here?,7,beneficiary_not_allowed,i really was trying to complete this exhange. i was trying to purchase some crypto but the app won't allow me to do it. can you tell me what's going on here?
What do you think of the exchange rate?,32,exchange_rate,what do you think of the exchange rate?
"This is frustrating, I'm at work and my transfers are not going through. I keep getting an error message, I do not have time for this.",7,beneficiary_not_allowed,"this is frustrating, i'm at work and my transfers are not going through. i keep getting an error message, i do not have time for this."
I can't find any option to top up with a cheque?,58,top_up_by_cash_or_cheque,i can't find any option to top up with a cheque?
How can I go about ordering a virtual card?,40,getting_virtual_card,how can i go about ordering a virtual card?
Where is my money that I transfered?!,5,balance_not_updated_after_bank_transfer,where is my money that i transfered?!
I don't know where my phone is.,42,lost_or_stolen_phone,i don't know where my phone is.
I tried activating my card and it didn't work,0,activate_my_card,i tried activating my card and it didn't work
Why didn't I receive the correct exchange rate for an item that I purchased?,17,card_payment_wrong_exchange_rate,why didn't i receive the correct exchange rate for an item that i purchased?
i did not get any money but still was charged,75,wrong_amount_of_cash_received,i did not get any money but still was charged
Do I need to do anything special for my friend to send money to my account?,50,receiving_money,do i need to do anything special for my friend to send money to my account?
How long does it take for money to reach my account?,5,balance_not_updated_after_bank_transfer,how long does it take for money to reach my account?
What fees are charged when I top up,57,top_up_by_card_charge,what fees are charged when i top up
Why has my top-up been returned to my account?,61,top_up_reverted,why has my top-up been returned to my account?
Exchange rate for my card payment is wrong,17,card_payment_wrong_exchange_rate,exchange rate for my card payment is wrong
Why are there fees for using a card?,15,card_payment_fee_charged,why are there fees for using a card?
I noticed a new fee on my account. I didn't know there were fees for these payments. What is the policy?,15,card_payment_fee_charged,i noticed a new fee on my account. i didn't know there were fees for these payments. what is the policy?
"My card will expire soon, do I need to order a new one?",9,card_about_to_expire,"my card will expire soon, do i need to order a new one?"
What do I do if I have been charged twice?,63,transaction_charged_twice,what do i do if i have been charged twice?
Why won't the machine accept my card anymore?,14,card_not_working,why won't the machine accept my card anymore?
Can I withdraw money in my hometown currency while on holiday without any additional fees?,76,wrong_exchange_rate_for_cash_withdrawal,can i withdraw money in my hometown currency while on holiday without any additional fees?
How come my refund hasn't appeared on my statement?,51,Refund_not_showing_up,how come my refund hasn't appeared on my statement?
Is it possible to top up using a cheque?,58,top_up_by_cash_or_cheque,is it possible to top up using a cheque?
What is the status of my top up?,61,top_up_reverted,what is the status of my top up?
Am I allowed to get an account for my daughter?,1,age_limit,am i allowed to get an account for my daughter?
Is it possible to use an ATM when I am not in the country and make a withdraw with out extra fees?,76,wrong_exchange_rate_for_cash_withdrawal,is it possible to use an atm when i am not in the country and make a withdraw with out extra fees?
Is this open to residents of all countries?,24,country_support,is this open to residents of all countries?
I am not sure where my phone is.,42,lost_or_stolen_phone,i am not sure where my phone is.
Why is the cash transaction still showing as not completed?,46,pending_cash_withdrawal,why is the cash transaction still showing as not completed?
How long does it take for deliver to the US?,12,card_delivery_estimate,how long does it take for deliver to the us?
How do I shut down my account and get out of this company?,55,terminate_account,how do i shut down my account and get out of this company?
What is the process to activate a card,0,activate_my_card,what is the process to activate a card
How long does it take for a cheque to post to your account?,6,balance_not_updated_after_cheque_or_cash_deposit,how long does it take for a cheque to post to your account?
I'm getting an error when trying to make a payment. I want to purchase a flat but my mortgage payment needs to go through. Can you help me?,35,failed_transfer,i'm getting an error when trying to make a payment. i want to purchase a flat but my mortgage payment needs to go through. can you help me?
"I did a payment with my card but seem that didn't work, it's still listed as pending since a while ago. When does this actually go through?",45,pending_card_payment,"i did a payment with my card but seem that didn't work, it's still listed as pending since a while ago. when does this actually go through?"
Is it possible to give a second card from my account to my daughter?,39,getting_spare_card,is it possible to give a second card from my account to my daughter?
What cash stations take this card?,3,atm_support,what cash stations take this card?
My new landlord is a lier and is trying to rip me off by saying I've not paid my rent when I have paid my rent.  What is going on?  They say the money hasn't got to them but I see it going out of my account.  Can you check that the money went to the right place?,66,transfer_not_received_by_recipient,my new landlord is a lier and is trying to rip me off by saying i've not paid my rent when i have paid my rent. what is going on? they say the money hasn't got to them but i see it going out of my account. can you check that the money went to the right place?
Why haven't I received a refund yet?,51,Refund_not_showing_up,why haven't i received a refund yet?
Can I get a Visa or Mastercard?,73,visa_or_mastercard,can i get a visa or mastercard?
What is needed for the identity verification?,69,verify_my_identity,what is needed for the identity verification?
What is your opinion on the exchange rate?,32,exchange_rate,what is your opinion on the exchange rate?
My card has been lost / stolen,41,lost_or_stolen_card,my card has been lost / stolen
How can I get disposable virtual cards?,37,get_disposable_virtual_card,how can i get disposable virtual cards?
I urgently need to top-up my card but its getting declined. Please help me in this or advise with other options if any.,59,top_up_failed,i urgently need to top-up my card but its getting declined. please help me in this or advise with other options if any.
Do you give out Visa or Mastercards?,73,visa_or_mastercard,do you give out visa or mastercards?
I already have an account. Why can't I use it unless my identity is verified?,74,why_verify_identity,i already have an account. why can't i use it unless my identity is verified?
My cash deposit hasn't posted to my account.,6,balance_not_updated_after_cheque_or_cash_deposit,my cash deposit hasn't posted to my account.
I have made a recent check and cash deposit that isn't reflected in my balance.,6,balance_not_updated_after_cheque_or_cash_deposit,i have made a recent check and cash deposit that isn't reflected in my balance.
I am asking to end my account.,55,terminate_account,i am asking to end my account.
Reasons for top up cancellation.,61,top_up_reverted,reasons for top up cancellation.
I believe there is a mistake because a payment I didn't make shows in my app.,16,card_payment_not_recognised,i believe there is a mistake because a payment i didn't make shows in my app.
I cant transfer money into my account,7,beneficiary_not_allowed,i cant transfer money into my account
"My phone was taken yesterday, is there something that I need to do?",42,lost_or_stolen_phone,"my phone was taken yesterday, is there something that i need to do?"
I'd like to order an additional card,39,getting_spare_card,i'd like to order an additional card
I want to cancel a transaction.,8,cancel_transfer,i want to cancel a transaction.
How and where can I find the identity checks?,69,verify_my_identity,how and where can i find the identity checks?
Why is there a fee on my money transfer?,64,transfer_fee_charged,why is there a fee on my money transfer?
What is the fee for topping up a US card?,57,top_up_by_card_charge,what is the fee for topping up a us card?
Cancelling a transaction,8,cancel_transfer,cancelling a transaction
"The expiration of my card is near, how do I order a new card?",9,card_about_to_expire,"the expiration of my card is near, how do i order a new card?"
Can I use my new card?,0,activate_my_card,can i use my new card?
What should I do if my card is stolen?,41,lost_or_stolen_card,what should i do if my card is stolen?
"Hello, I went ahead and checked my account details to be sure, and they are definitely correct.  I've had a transfer pending for a while, and I can't understand why it hasn't gone through yet.",48,pending_transfer,"hello, i went ahead and checked my account details to be sure, and they are definitely correct. i've had a transfer pending for a while, and i can't understand why it hasn't gone through yet."
Everytime I try to prove my identity it won't let me.,68,unable_to_verify_identity,everytime i try to prove my identity it won't let me.
Why can't I withdraw cash from this ATM?,26,declined_cash_withdrawal,why can't i withdraw cash from this atm?
"Hi, I sent a payment to the wrong account number - can you cancel it as soon as possible?",8,cancel_transfer,"hi, i sent a payment to the wrong account number - can you cancel it as soon as possible?"
Can I have a card even if I am not living in the UK?,24,country_support,can i have a card even if i am not living in the uk?
Tell me how to verify a top up.,71,verify_top_up,tell me how to verify a top up.
Can I use top-up with Apple pay?,2,apple_pay_or_google_pay,can i use top-up with apple pay?
A transaction posted twice to my account.,63,transaction_charged_twice,a transaction posted twice to my account.
When will my transfer move from pending to confirmed?,48,pending_transfer,when will my transfer move from pending to confirmed?
There is a transaction showing in my app that I did not make as I have not used that card all day.  Please reimburse this amount to my account.,28,direct_debit_payment_not_recognised,there is a transaction showing in my app that i did not make as i have not used that card all day. please reimburse this amount to my account.
Is auto top up available?,4,automatic_top_up,is auto top up available?
There is a single payment on my card which shows as pending.,45,pending_card_payment,there is a single payment on my card which shows as pending.
"Can you tell me how long it would take, to make a transfer from France? I made one 2 days ago and its not there yet.",5,balance_not_updated_after_bank_transfer,"can you tell me how long it would take, to make a transfer from france? i made one 2 days ago and its not there yet."
What fiat currencies are used for exchange?,36,fiat_currency_support,what fiat currencies are used for exchange?
"Hey, I ordered a thing but changed my mind and want a refund on it. Since I haven't received the thing, would you just go ahead and cancel the payment for me?",52,request_refund,"hey, i ordered a thing but changed my mind and want a refund on it. since i haven't received the thing, would you just go ahead and cancel the payment for me?"
